date,sentences
"2017-07-01",34
"2017-07-04",130
"2017-07-07",48
"2017-07-10",69
"2017-07-13",63
"2017-07-16",125
"2017-07-19",87
"2017-07-22",23
"2017-07-25",54
"2017-07-28",84
"2017-07-31",154
"2017-08-03",99
"2017-08-06",156
"2017-08-09",75
"2017-08-12",42
"2017-08-15",92
"2017-08-18",84
"2017-08-21",92
"2017-08-24",189
"2017-08-27",67
"2017-08-30",100
"2017-09-02",295
"2017-09-05",2072
"2017-09-08",502
"2017-09-11",367
"2017-09-14",219
"2017-09-17",1519
"2017-09-20",4147
"2017-09-23",2917
"2017-09-26",6964
"2017-09-29",5195
"2017-10-02",4779
"2017-10-05",2471
"2017-10-08",1395
"2017-10-11",3154
"2017-10-14",856
"2017-10-17",1235
"2017-10-20",919
"2017-10-23",1402
"2017-10-26",970
"2017-10-29",894
"2017-11-01",480
"2017-11-04",324
"2017-11-07",592
"2017-11-10",220
